PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Darece Roberson Jr,2565771,WR,FA,,,,,,,,,,,,,,,,,282,0.00
Amari Rodgers,2566091,WR,GB,,,,,,,,,,,,8.98,,,,,283,0.00
Chester Rogers,2556396,WR,TEN,,,,,,,,,,,,8.36,,,,,284,0.00
John Ross,2558010,WR,NYG,,,,,,,,,,,,11.37,,,,,285,0.00
Chris Rowland,2563524,WR,FA,,,,,,,,,,,,,,,,,286,0.00
Henry Ruggs III,2564433,WR,LV,,,,,,,,,,,,7.78,,,,,287,0.00
Curtis Samuel,2558066,WR,WAS,,,,,,,,,,,,,,,,,288,0.00
Deebo Samuel,2562721,WR,SF,,,,,,,,,,,,7.62,,,,,289,0.00
Dalton Schoen,2565078,WR,FA,,,,,,,,,,,,,,,,,290,0.00
Anthony Schwartz,2565986,WR,CLE,,,,,,,,,,,,8.16,,,,,291,0.00
Caleb Scott,2561270,WR,FA,,,,,,,,,,,,,,,,,292,0.00
Mathew Sexton,2565792,WR,FA,,,,,,,,,,,,,,,,,293,0.00
Tajae Sharpe,2555317,WR,ATL,,,,,,,,,,,,8.48,,,,,294,0.00
Laviska Shenault Jr.,2564232,WR,JAX,,,,,,,,,,,,5.74,,,,,295,0.00
Trent Sherfield,2561272,WR,SF,,,,,,,,,,,,7.62,,,,,296,0.00
David Sills,2562732,WR,FA,,,,,,,,,,,,,,,,,297,0.00
Tyler Simmons,2564091,WR,FA,,,,,,,,,,,,,,,,,298,0.00
