PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Ryan Neal,2561381,DB,SEA,ARI,,,,,,,,,,,,,,,,,,332,0.00
Siran Neal,2560818,DB,BUF,@KC,,,,,,,,,,,,,,,,,,333,0.00
Nik Needham,2563220,DB,MIA,MIN,,,,,,,,,,,,,,,,,,334,0.00
Nick Nelson,2560819,DB,FA,Bye,,,,,,,,,,,,,,,,,,335,0.00
Scott Nelson,2568267,DB,PIT,TB,,,,,,,,,,,,,,,,,,336,0.00
Steven Nelson,2552265,DB,HOU,Bye,,,,,,,,,,,,,,,,,,337,0.00
Greg Newsome II,2565980,DB,CLE,NE,,,,,,,,,,,,,,,,,,338,0.00
Parry Nickerson,2560822,DB,FA,Bye,,,,,,,,,,,,,,,,,,339,0.00
Keisean Nixon,2562938,DB,GB,NYJ,,,,,,,,,,,,,,,,,,340,0.00
Tre Norwood,2566463,DB,PIT,TB,,,,,,,,,,,,,,,,,,341,0.00
George Odum,2561131,DB,SF,@ATL,,,,,,,,,,,,,,,,,,342,0.00
Michael Ojemudia,2563908,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,343,0.00
Jeff Okudah,2563944,DB,DET,Bye,,,,,,,,,,,,,,,,,,344,0.00
Isaiah Oliver,2560830,DB,ATL,SF,,,,,,,,,,,,,,,,,,345,0.00
Amani Oruwariye,2562390,DB,DET,Bye,,,,,,,,,,,,,,,,,,346,0.00
Jonathan Owens,2561255,DB,HOU,Bye,,,,,,,,,,,,,,,,,,347,0.00
AJ Parker,2566908,DB,DET,Bye,,,,,,,,,,,,,,,,,,348,0.00
Steven Parker,2561256,DB,FA,Bye,,,,,,,,,,,,,,,,,,349,0.00
Will Parks,2556278,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,350,0.00
Jabrill Peppers,2557980,DB,NE,@CLE,,,,,,,,,,,,,,,,,,351,0.00
Jomal Wiltz,2559283,DB,FA,Bye,,,,,,,,,,,,,,,,,,352,0.00
Marcus Peters,2552488,DB,BAL,@NYG,,,,,,,,,,,,,,,,,,353,0.00
Patrick Peterson,2495504,DB,MIN,@MIA,,,,,,,,,,,,,,,,,,354,0.00
Adrian Phillips,2550842,DB,NE,@CLE,,,,,,,,,,,,,,,,,,355,0.00
Darius Phillips,2560839,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,356,0.00
James Pierre,2565003,DB,PIT,TB,,,,,,,,,,,,,,,,,,357,0.00
Jason Pinnock,2565753,DB,NYG,BAL,,,,,,,,,,,,,,,,,,358,0.00
Jalen Pitre,2567688,DB,HOU,Bye,,,,,,,,,,,,,,,,,,359,0.00
Lafayette Pitts,2556652,DB,FA,Bye,,,,,,,,,,,,,,,,,,360,0.00
Jordan Poyer,2539290,DB,BUF,@KC,,,,,,,,,,,,,,,,,,361,0.00
Bobby Price,2563953,DB,DET,Bye,,,,,,,,,,,,,,,,,,362,0.00
Troy Pride,2563662,DB,FA,Bye,,,,,,,,,,,,,,,,,,363,0.00
Jalen Ramsey,2555280,DB,LA,CAR,,,,,,,,,,,,,,,,,,364,0.00
Taylor Rapp,2562707,DB,LA,CAR,,,,,,,,,,,,,,,,,,365,0.00
Jeremy Reaves,2561394,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,366,0.00
Will Redmond,2555545,DB,FA,Bye,,,,,,,,,,,,,,,,,,367,0.00
Sheldrick Redwine,2562711,DB,FA,Bye,,,,,,,,,,,,,,,,,,368,0.00
D.J. Reed,2560850,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,369,0.00
J.R. Reed,2564220,DB,FA,Bye,,,,,,,,,,,,,,,,,,370,0.00
John Reid,2564088,DB,SEA,ARI,,,,,,,,,,,,,,,,,,371,0.00
